Reference area,Measure,Unit of measure,Regime,Time Period,Observation Value,Regime Name
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2000,30.55,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2000,0.0,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2000,0.0,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2000,4.25,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2001,30.55,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2001,0.0,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2001,0.0,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2001,4.25,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2002,30.55,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2002,0.0,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2002,0.0,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2002,4.25,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2003,30.55,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2003,0.0,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2003,0.0,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2003,4.25,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2004,30.55,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of investment,Regime 1,2004,0.0,Software Promotional Regime - ARG
Argentina,Implicit subsidy,Percentage of taxable income,Regime 1,2004,0.0,Software Promotional Regime - ARG
Argentina,Cost of capital,Percentage of investment,Regime 1,2004,4.25,Software Promotional Regime - ARG
Argentina,Effective average tax rate,Percentage of taxable income,Regime 1,2005,19.0,Software Promotional Regime - ARG
